ID,y,ds
LCZero_Gen6_7f8f,474,2018-03-13
LCZero_Gen7_6d2e,972,2018-03-14
LCZero_Gen8_1aa0,1160,2018-03-15
LCZero_Gen9_5c8d,1228,2018-03-17
LCZero_Gen10_8f60,1209,2018-03-19
LCZero_Gen11_f393,1407,2018-03-19
LCZero_Gen12_6690,1434,2018-03-20
LCZero_Gen13_cd1a,1497,2018-03-21
LCZero_Gen14_2090,1502,2018-03-21
LCZero_Gen15_6a5c,1469,2018-03-22
LCZero_Gen16_9824,1627,2018-03-22
LCZero_Gen17_3857,1687,2018-03-23
LCZero_Id27_7428,1729,2018-03-24
LCZero_Id31_dd08,1712,2018-03-24
LCZero_Id33_c9d2,1736,2018-03-25
LCZero_Id41_fde9,1808,2018-03-26
LCZero_Id45_9e58,1857,2018-03-27
LCZero_Id49_218a,1817,2018-03-28
LCZero_Id55_4b3d,1983,2018-03-29
LCZero_Id61_860f,1985,2018-03-30
LCZero_Id67_78e3,2031,2018-03-31
LCZero_Id73_7f68,1989,2018-04-01
LCZero_Id79_0978,2142,2018-04-02
LCZero_Id82_a8bd,2205,2018-04-03
LCZero_Id83_4bcd,2152,2018-04-04
LCZero_Id92_3547,2175,2018-04-05
LCZero_Id94_dbe2,2205,2018-04-06
LCZero_Id102_2e0e,2230,2018-04-07
LCZero_Id107_c747,2293,2018-04-08
LCZero_Id113_2064,2262,2018-04-09
LCZero_Id118_1d1b,2249,2018-04-10
LCZero_Id122_c183,2349,2018-04-11
LCZero_Id123_f024,2344,2018-04-12
LCZero_Id125_738e,2444,2018-04-13
LCZero_Id129_c76f,2399,2018-04-14
LCZero_Id133_6691,2313,2018-04-15
LCZero_Id138_5367,2319,2018-04-16
LCZero_Id141_5874,2357,2018-04-17
LCZero_Id145_e094,2427,2018-04-18
LCZero_Id149_5520,2459,2018-04-19
LCZero_Id156_acf9,2603,2018-04-20
LCZero_Id163_890d,2597,2018-04-21
LCZero_Id170_cd9d,2628,2018-04-22
LCZero_Id177_1907,2665,2018-04-23
LCZero_Id184_60db,2644,2018-04-24
LCZero_Id190_3b40,2781,2018-04-25
LCZero_Id197_51a8,2729,2018-04-26
LCZero_Id204_9378,2822,2018-04-27
LCZero_Id212_a02f,2769,2018-04-28
LCZero_Id219_2eaf,2823,2018-04-29
LCZero_Id228_4016,2848,2018-04-30
LCZero_Id231_8533,2769,2018-05-01
LCZero_Id235_18a0,2828,2018-05-02
LCZero_Id240_83d2,2825,2018-05-03
